DATE,ROWFDIQ027S
1946-10-01,-4.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,10.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,34.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,56.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,80.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,90.0
1952-01-01,56.0
1952-04-01,44.0
1952-07-01,-88.0
1952-10-01,516.0
1953-01-01,76.0
1953-04-01,-180.0
1953-07-01,44.0
1953-10-01,692.0
1954-01-01,68.0
1954-04-01,200.0
1954-07-01,172.0
1954-10-01,56.0
1955-01-01,56.0
1955-04-01,16.0
1955-07-01,-44.0
1955-10-01,760.0
1956-01-01,372.0
1956-04-01,444.0
1956-07-01,440.0
1956-10-01,-328.0
1957-01-01,216.0
1957-04-01,260.0
1957-07-01,72.0
1957-10-01,72.0
1958-01-01,360.0
1958-04-01,392.0
1958-07-01,368.0
1958-10-01,-728.0
1959-01-01,516.0
1959-04-01,656.0
1959-07-01,504.0
1959-10-01,-724.0
1960-01-01,416.0
1960-04-01,292.0
1960-07-01,364.0
1960-10-01,188.0
1961-01-01,380.0
1961-04-01,448.0
1961-07-01,220.0
1961-10-01,196.0
1962-01-01,220.0
1962-04-01,380.0
1962-07-01,228.0
1962-10-01,556.0
1963-01-01,276.0
1963-04-01,516.0
1963-07-01,448.0
1963-10-01,-316.0
1964-01-01,340.0
1964-04-01,444.0
1964-07-01,212.0
1964-10-01,292.0
1965-01-01,720.0
1965-04-01,-88.0
1965-07-01,552.0
1965-10-01,472.0
1966-01-01,488.0
1966-04-01,420.0
1966-07-01,-128.0
1966-10-01,924.0
1967-01-01,836.0
1967-04-01,832.0
1967-07-01,540.0
1967-10-01,584.0
1968-01-01,1436.0
1968-04-01,544.0
1968-07-01,536.0
1968-10-01,716.0
1969-01-01,1300.0
1969-04-01,908.0
1969-07-01,1032.0
1969-10-01,1812.0
1970-01-01,2480.0
1970-04-01,904.0
1970-07-01,1492.0
1970-10-01,980.0
1971-01-01,900.0
1971-04-01,700.0
1971-07-01,-1168.0
1971-10-01,1036.0
1972-01-01,-836.0
1972-04-01,1028.0
1972-07-01,1568.0
1972-10-01,2040.0
1973-01-01,3828.0
1973-04-01,4804.0
1973-07-01,2132.0
1973-10-01,436.0
1974-01-01,7136.0
1974-04-01,2156.0
1974-07-01,6440.0
1974-10-01,3312.0
1975-01-01,1112.0
1975-04-01,3480.0
1975-07-01,344.0
