DATE,HOOREVLMHMV
1945-10-01,116.049
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,133.422
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,177.473
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,199.326
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,216.535
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,243.315
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,270.874
1952-01-01,273.17
1952-04-01,283.505
1952-07-01,284.584
1952-10-01,294.752
1953-01-01,300.182
1953-04-01,306.68
1953-07-01,316.348
1953-10-01,315.055
1954-01-01,316.592
1954-04-01,320.732
1954-07-01,329.781
1954-10-01,337.554
1955-01-01,341.601
1955-04-01,350.86
1955-07-01,360.688
1955-10-01,367.383
1956-01-01,375.328
1956-04-01,383.76
1956-07-01,390.218
1956-10-01,394.263
1957-01-01,401.222
1957-04-01,408.017
1957-07-01,414.67
1957-10-01,417.162
1958-01-01,414.465
1958-04-01,419.841
1958-07-01,429.327
1958-10-01,438.44
1959-01-01,438.052
1959-04-01,447.672
1959-07-01,456.362
1959-10-01,463.647
1960-01-01,475.58
1960-04-01,479.638
1960-07-01,485.654
1960-10-01,486.897
1961-01-01,484.488
1961-04-01,494.136
1961-07-01,502.979
1961-10-01,511.054
1962-01-01,518.133
1962-04-01,522.112
1962-07-01,525.874
1962-10-01,533.162
1963-01-01,539.625
1963-04-01,540.004
1963-07-01,549.322
1963-10-01,553.248
1964-01-01,553.844
1964-04-01,565.045
1964-07-01,569.664
1964-10-01,579.83
1965-01-01,585.435
1965-04-01,589.142
1965-07-01,593.543
1965-10-01,605.593
1966-01-01,604.127
1966-04-01,630.518
1966-07-01,631.432
1966-10-01,648.979
1967-01-01,651.709
1967-04-01,659.242
1967-07-01,668.871
1967-10-01,685.689
1968-01-01,706.181
1968-04-01,721.691
1968-07-01,732.574
1968-10-01,768.164
1969-01-01,789.668
1969-04-01,804.195
1969-07-01,812.973
1969-10-01,832.441
1970-01-01,834.315
1970-04-01,861.308
1970-07-01,859.007
1970-10-01,874.469
1971-01-01,896.384
1971-04-01,917.847
1971-07-01,938.482
1971-10-01,957.235
1972-01-01,994.999
1972-04-01,1011.65
1972-07-01,1046.653
1972-10-01,1098.624
1973-01-01,1125.134
1973-04-01,1164.853
1973-07-01,1216.897
1973-10-01,1251.41
1974-01-01,1234.864
1974-04-01,1224.908
1974-07-01,1228.579
1974-10-01,1261.141
1975-01-01,1320.641
1975-04-01,1376.129
1975-07-01,1374.568
1975-10-01,1413.658
1976-01-01,1444.386
1976-04-01,1510.149
1976-07-01,1541.764
1976-10-01,1589.977
1977-01-01,1650.002
1977-04-01,1740.633
1977-07-01,1809.353
1977-10-01,1886.806
1978-01-01,1953.165
1978-04-01,2047.892
1978-07-01,2129.042
1978-10-01,2210.877
1979-01-01,2324.853
1979-04-01,2438.382
1979-07-01,2527.395
1979-10-01,2603.271
1980-01-01,2709.296
1980-04-01,2784.958
1980-07-01,2898.047
1980-10-01,2943.161
1981-01-01,2976.773
1981-04-01,3145.246
1981-07-01,3243.369
1981-10-01,3292.96
1982-01-01,3379.724
1982-04-01,3402.543
1982-07-01,3409.839
1982-10-01,3447.373
1983-01-01,3500.62
1983-04-01,3548.174
1983-07-01,3594.626
