FEDERAL DEBT,FOREIGN INVESTMENT,GINI,HUMAN CAPITAL INDEX,INFLATION,INTEREST RATE,HIGHEST INCOME TAX,PERCENT WAGE GROWTH,RCONSPEND,REAL GDP,REAL ESTATE MARKET VAL,RMEDEARN,RMEDHOUINC,UNEMPLOYMENT RATE,YEAR
320999.0,488.0,37.8,2.928370714187622,3.0150753768844,4.5,70.0,4.9,11181.0,4731.888,604.127,335.0,56780.0,4.0,1966
330947.0,836.0,36.9,2.959925413131714,2.77278562259309,4.5,70.0,4.9,11181.0,4870.299,651.709,335.0,56780.0,3.9,1967
349473.0,1436.0,36.3,2.9918198585510254,4.27179615288537,4.5,75.25,4.9,11181.0,5057.553,706.181,335.0,56780.0,3.7,1968
359546.0,1300.0,36.0,3.0240583419799805,5.46238620028745,5.5,77.0,4.9,11181.0,5283.597,789.668,335.0,56780.0,3.4,1969
372007.0,2480.0,36.6,3.0566439628601074,5.83825533848251,6.0,71.75,4.9,11181.0,5300.652,834.315,335.0,56780.0,3.9,1970
391668.0,900.0,36.9,3.0898852348327637,4.29276668813051,5.23,70.0,4.9,11181.0,5443.619,896.384,335.0,56780.0,5.9,1971
427344.0,-836.0,36.7,3.123487710952759,3.27227824655283,4.5,70.0,4.9,11181.0,5632.649,994.999,335.0,56780.0,5.8,1972
458606.0,3828.0,36.1,3.1574559211730957,6.17776006377038,4.77,70.0,4.9,11181.0,6058.544,1125.134,335.0,56780.0,4.9,1973
473675.0,7136.0,35.5,3.191793441772461,11.0548048048048,7.5,70.0,4.9,11181.0,6097.258,1234.864,335.0,56780.0,5.1,1974
509659.0,1112.0,35.7,3.226504325866699,9.14314686496535,7.4,70.0,4.9,11181.0,5957.035,1320.641,335.0,56780.0,8.1,1975
600490.0,5884.0,35.6,3.249995708465576,5.74481263549085,5.79,70.0,4.9,11181.0,6323.649,1444.386,335.0,56780.0,7.9,1976
669207.0,3920.0,35.5,3.273658037185669,6.5016839947284,5.25,70.0,4.9,11181.0,6527.703,1650.002,335.0,56780.0,7.5,1977
737951.0,5424.0,34.8,3.297492504119873,7.63096383885606,6.37,70.0,4.9,11181.0,6796.26,1953.165,335.0,56780.0,6.4,1978
796792.0,6216.0,34.8,3.321500778198242,11.2544711292795,9.5,70.0,4.9,11181.0,7238.727,2324.853,335.0,56780.0,5.9,1979
863451.0,13284.0,34.7,3.3456838130950928,13.5492019749684,12.0,70.0,4.9,11181.0,7341.557,2709.296,321.0,56780.0,6.3,1980
964531.0,12584.0,35.5,3.354768991470337,10.3347153402771,13.0,69.125,4.9,11181.0,7459.022,2976.773,314.0,56780.0,7.5,1981
1061299.0,8616.0,36.7,3.3638789653778076,6.13142700027493,12.0,50.0,4.9,11181.0,7295.631,3379.724,312.0,56780.0,8.6,1982
1244493.0,5020,37.3,3.373013734817505,3.21243523316065,8.5,50.0,4.9,11181.0,7400.066,3500.62,315.0,56780.0,10.4,1983
1463741.0,19436.0,37.3,3.3821732997894287,4.30053547523429,8.5,50.0,4.9,11181.0,8034.847,3815.839,313.0,56780.0,8.0,1984
1710731.0,19648.0,37.6,3.391357660293579,3.54564415209365,8.0,50.0,4.9,11181.0,8400.82,4345.136,314.0,57860.0,7.3,1985
1986816.0,13720,37.6,3.400060653686523,1.89804772234276,7.5,50.0,4.9,11181.0,8749.127,4956.078,321.0,60010.0,6.7,1986
2246724.0,51532.0,37.2,3.4087860584259033,3.6645632175169,5.5,38.5,4.9,11181.0,8986.367,5507.465,328.0,60760.0,6.6,1987
2487551.0,33700.0,37.7,3.4175336360931396,4.07774110744413,6.0,28.0,4.9,11181.0,9367.502,6027.537,329.0,61210.0,5.7,1988
2740898.0,74332.0,38.2,3.42630386352539,4.82700303008944,6.5,28.0,4.9,11181.0,9771.725,6562.274,323.0,62260.0,5.4,1989
3051958.0,63096.0,38.3,3.435096502304077,5.39795643990325,7.0,28.0,4.9,11181.0,10047.386,7012.984,319.0,61500.0,5.4,1990
3465189.0,16300,38.0,3.4523024559020996,4.23496396453849,6.5,31.0,4.9,11181.0,9951.916,7147.403,316.0,59710.0,6.4,1991
3881288.0,8344.0,38.4,3.469594955444336,3.02881967814969,3.5,31.0,4.9,11181.0,10236.435,7394.546,315.0,59210.0,7.3,1992
4230580.0,32240.0,40.4,3.486973524093628,2.95165696638559,3.0,39.6,4.9,11181.0,10576.275,7670.105,315.0,58920.0,7.3,1993
4575869.0,23532.0,40.0,3.50443959236145,2.60744159215453,3.0,39.6,4.9,11181.0,10939.116,8082.369,316.0,59550.0,6.6,1994
4864116.0,39696.0,39.9,3.5219931602478027,2.80541968853662,4.75,39.6,4.9,11181.0,11319.951,8415.203,313.0,61440.0,5.6,1995
5117786.0,114072.0,40.3,3.5332388877868652,2.93120419993441,5.24,39.6,4.9,11181.0,11614.418,8590.662,312.0,62350.0,5.6,1996
5380890.0,114504.0,40.5,3.544520616531372,2.33768993730735,5.0,39.6,4.9,11181.0,12115.472,8963.588,313.0,63640.0,5.3,1997
5542426.0,79036.0,40.0,3.5558385848999023,1.55227909874364,5.0,39.6,4.9,11181.0,12703.742,9499.67,319.0,65980.0,4.6,1998
5651615.0,115036.0,40.0,3.567192554473877,2.18802719697358,4.5,39.6,5.0,11181.0,13315.597,10389.337,324.0,67650.0,4.3,1999
